
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 32768, align = 131072, org size = 10085684, cmp size = 5040640, cmp_ratio = 0.49978, pad_size = 281536, pad_ratio = 0.05585

file_name = data/tgt/enwik8, algo_type = 0, align_type = 0, bs = 16384, align = 8192, org size = 100000000, cmp size = 97968128, cmp_ratio = 0.97968, pad_size = 37313434, pad_ratio = 0.38087
file_name = data/tgt/enwik8, algo_type = 1, align_type = 0, bs = 16384, align = 8192, org size = 100000000, cmp size = 50003968, cmp_ratio = 0.50004, pad_size = 8597323, pad_ratio = 0.17193
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 0, bs = 16384, align = 8192, org size = 1029744, cmp size = 516096, cmp_ratio = 0.50119, pad_size = 87594, pad_ratio = 0.16972
file_name = data/tgt/kennedy.xls, algo_type = 1, align_type = 0, bs = 16384, align = 8192, org size = 1029744, cmp size = 516096, cmp_ratio = 0.50119, pad_size = 317657, pad_ratio = 0.61550
file_name = data/tgt/osdb, algo_type = 0, align_type = 0, bs = 16384, align = 8192, org size = 10085684, cmp size = 10084352, cmp_ratio = 0.99987, pad_size = 3162800, pad_ratio = 0.31363
file_name = data/tgt/osdb, algo_type = 1, align_type = 0, bs = 16384, align = 8192, org size = 10085684, cmp size = 10084352, cmp_ratio = 0.99987, pad_size = 4512343, pad_ratio = 0.44746
file_name = data/tgt/x-ray, algo_type = 0, align_type = 0, bs = 16384, align = 8192, org size = 8474240, cmp size = 8478720, cmp_ratio = 1.00053, pad_size = 102872, pad_ratio = 0.01213
file_name = data/tgt/x-ray, algo_type = 1, align_type = 0, bs = 16384, align = 8192, org size = 8474240, cmp size = 8478720, cmp_ratio = 1.00053, pad_size = 2302442, pad_ratio = 0.27156

file_name = data/tgt/enwik8, algo_type = 0, align_type = 0, bs = 16384, align = 4096, org size = 100000000, cmp size = 73883648, cmp_ratio = 0.73884, pad_size = 13228954, pad_ratio = 0.17905
file_name = data/tgt/enwik8, algo_type = 1, align_type = 0, bs = 16384, align = 4096, org size = 100000000, cmp size = 49745920, cmp_ratio = 0.49746, pad_size = 8339275, pad_ratio = 0.16764
file_name = data/tgt/enwik8, algo_type = 0, align_type = 0, bs = 16384, align = 8192, org size = 100000000, cmp size = 97968128, cmp_ratio = 0.97968, pad_size = 37313434, pad_ratio = 0.38087
file_name = data/tgt/enwik8, algo_type = 1, align_type = 0, bs = 16384, align = 8192, org size = 100000000, cmp size = 50003968, cmp_ratio = 0.50004, pad_size = 8597323, pad_ratio = 0.17193
file_name = data/tgt/kennedy.xls, algo_type = 0, align_type = 0, bs = 16384, align = 4096, org size = 1029744, cmp size = 516096, cmp_ratio = 0.50119, pad_size = 87594, pad_ratio = 0.16972
